[2024-12-18 04:03:08 +0700] [29949] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:08 +0700] [29949] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:09 +0700] [29949] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:09 +0700] [29949] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:10 +0700] [29949] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:03:11 +0700] [29956] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:03:11 +0700] [29956] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:11 +0700] [29956] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:12 +0700] [29956] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:12 +0700] [29956] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:13 +0700] [29956] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:13 +0700] [29956] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:14 +0700] [29956] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:14 +0700] [29956] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:15 +0700] [29956] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:15 +0700] [29956] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:16 +0700] [29956] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:03:17 +0700] [29963] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:03:17 +0700] [29963] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:17 +0700] [29963] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:18 +0700] [29963] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:18 +0700] [29963] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:19 +0700] [29963] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:19 +0700] [29963] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:20 +0700] [29963] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:20 +0700] [29963] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:21 +0700] [29963] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:21 +0700] [29963] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:22 +0700] [29963] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:03:31 +0700] [29970] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:03:31 +0700] [29970] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:31 +0700] [29970] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:32 +0700] [29970] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:32 +0700] [29970] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:33 +0700] [29970] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:33 +0700] [29970] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:34 +0700] [29970] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:34 +0700] [29970] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:35 +0700] [29970] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:35 +0700] [29970] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:36 +0700] [29970] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:03:37 +0700] [30035] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:03:37 +0700] [30035] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:37 +0700] [30035] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:38 +0700] [30035] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:38 +0700] [30035] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:39 +0700] [30035] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:39 +0700] [30035] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:40 +0700] [30035] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:40 +0700] [30035] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:41 +0700] [30035] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:41 +0700] [30035] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:42 +0700] [30035] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:03:43 +0700] [30069] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:03:43 +0700] [30069] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:43 +0700] [30069] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:44 +0700] [30069] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:44 +0700] [30069] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:45 +0700] [30069] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:45 +0700] [30069] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:46 +0700] [30069] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:46 +0700] [30069] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:47 +0700] [30069] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:47 +0700] [30069] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:48 +0700] [30069] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:03:48 +0700] [30075] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:03:48 +0700] [30075] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:48 +0700] [30075] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
